情感倾向,评论内容
1,超感動！這種時候我願意相信音樂的力量
1,"其实没有我想象的精彩　。
"
1,都是回忆，很震撼
1,光凭音乐就是极致享受，更何况里面的回忆都是愉快的。
1,tears  of love&peace 
1,各种好听 不过奇怪的是我下了两个版本 各有对方没有的片段……
1,我觉得除了满分， 其他的分数都对不起这两个伟大的艺术家！
1,在嘈杂的公交地铁和回家的路上完成了这场心灵的净化，最数经典的是《哈尔的移动城堡》，想起小时候为了看《萤火虫之墓》不吃好几顿省下买了一套宫崎骏合集。
1,大学时从驴上拽下来看的，小萝莉唱的波妞主题曲不错，其他都忘了（貌似还有幽灵公主里那段合唱？）。。。
1,感动死了。。。
1,谢谢。
1,百看不厌
1,狗日的，感动屎了~
1,我后悔没去看久石让音乐会TAT
1,现场肯定很震撼
1,"真的非常感动...细腻,温柔,庞大,震撼的音乐
谢谢你,久石让先生..这里有我的梦想"
1,所谓的9.7分，就是有八成的人多给满分，随波逐流一次~
1,09年，上海。
1,现场是这么震撼 作为一个同时喜欢他们两的人 我觉得很非常十分过瘾
1,如果说人类有一个职业能有别于万物 那这一定是音乐家
1,太过美妙了
1,看到了他们对自己事业的热爱和执着。不知中国何时可以出一个宫崎骏和久石让。。。期待。
1,久石让与宫崎骏创作了太多太多太多经典，平原绫香声音真的很好听
1,这样的演出无可指摘。。。
1,大湿
1,感动。
1,潸然泪下
1,老爷子真的是太enjoy了，亲自弹的那段红猪狂赞，可惜我家加藤登纪子奶奶没来
1,這個可好看了。。
1,一场伟大的盛宴！！！
1,嗷
1,还是听现场啊，下次久石让再来绝对不能错过
1,音樂一出來，我的淚就流出來了。謝謝你，讓我心動。
1,每一刻他的脸上都是那么陶醉，每一曲结束都满怀着自豪和感激，与宫崎骏握手的一刻为25载合作的时光做一个小节。龙猫果然是最后一曲，"只有孩子才看得到"，这也是多少中国孩子的心曲。 当宫崎峻为久石让献花的时候，那份感动无以言表，感谢他们带来这样能够触及心灵、扶动心弦的音乐和动画。
1,我竟然没有马克过这个？！！！！！这是我看过最最最最最最棒的音乐会！！！没有之一！！！！！
1,可能是会馆太大，录音效果比较一般，包括后来推出的CD也是。唯一的缺憾。
1,反正我是看哭了
1,好好享受就行
1,这才叫大师！！！！！！！！！！
1,jichan  你看了不？
1,"下了一个6,5G的MKV 还有字幕"
1,一場充滿誠意的表演 熱淚盈眶
1, 久石让与宫崎骏走过的25年 ，呵呵
1,似曾相识的倾诉，悄无声息的落泪
1,整个灵魂都为之倾倒！
1,潸然泪下
1,俯视的场景巨壮观 
1,两可爱老头！！
1,熱淚盈眶熱血沸騰
1,久石让。还有宫崎骏。
1,泪目??哭到不行，好感动
1,"这场音乐会堪称最强灵魂按摩啊！
整体呈现可谓近年最具份量音乐会。
经典曲音画重现与创意几度掀起高潮，
献唱小波妞的大桥望美灵动可人，
平原绫香开口即是夏日之海的味道，
行进管乐团一边演奏一边将听众合围，
与近千人合唱团共同演出天空之城曲，
交响乐与人声哼唱形成环绕颅内轰炸。
尾声藏匿的宫崎骏忽从席下手捧花束，
听众纷纷侧目惊呼久石让喜极落泪。
落幕后所有人掌声如暴雨般真挚不息。
尤为羡慕当年身在现场的听众，
会成为他们一生的感动吧！"
1,曲曲经典
1,经典！
1,俺哭得稀裡嘩啦的。。。
1,听得浑身颤抖啊颤抖~
1,太给力了！！！！！！！！！有生之年一定要去现场！！！！！！！！！！
1,看着大师的背影，那些熟悉的音乐，回忆不断涌现，早忘却了时间，还是那句老话，这辈子三样事物别人怎么黑我都不屑辩驳，一是“暴雪的魔兽世界”，二是“诺兰的黑暗骑士”，三就是“久石让的宫崎骏”
1,平原绫香！
1,各种感动各种回忆
1,2013年10月3日13:54:43，久石让没有喜多郎投入啊！配乐经典很多，也很细腻。
1,不知道我一个人在对着纪录片在哭什么.....真的震撼到了 想慢慢地看完全部听完所有的歌
1,不枉吾辈下了几天...飙泪啊...老少皆宜...
1,最后两个老头隔着茫茫人海相视的画面，实在感动哭了！请他两都长命百岁做出更多作品吧！！！
1,宫崎骏出来的那一霎那真是太感人了
1,经典 大师 热泪盈眶 感谢你们 带来纯净的美丽的世界。 谢谢！ 
1,极其卓越的现场，而且让人谜一般的感动，仿佛琴键管弦之间流淌着的是漫长的岁月。“只有孩子们才能看见”，久石让和宫崎骏两位大师，给已不再是孩子的观众们，留下了内心一片纯粹的乐园。听一次久神现场的梦想我一定会去实现它。
1,抽象艺术的音乐与视觉和听觉的现代艺术电影密不可分。当日本最好的音乐家和日本最好的动画导演相结合就碰撞出了完美的火花。全片高潮：宫崎骏向久石让献花，全场掌声不断。千里马与伯乐相辅相成，所以不能说宫崎骏成就了久石让，是他们互相成就了对方。能让他们两个人相遇，真的是太棒了！8.7
1,没得说
1,根本就没办法打分的吧
1,久石让是神！！！！！！
1,看得热泪盈眶，起了一身鸡皮疙瘩。
1,大叔和大叔25年的友誼！
1,天空之城里面那段小号独奏让我人生第一次觉得小号好听
1,久石让，宫崎骏
1,感动！！！
1,这应该是我最早完整听完的古典现场音乐会吧，很感人~~
1,这是今年夏天，那个让人尊敬让人珍视的人离开这个城市时赠于我的礼物。
1,林正子开口的一瞬间，眼泪夺眶而出！为什么，为什么，世界上会有这样美好的事物！！为什么？
1,"25年.从宫崎爷爷献花的1.41到1.43全都是掌声.你终于等到了,你该得的."
1,这个都能哭啊，哭啊
1,那年夏天，半夜赶论文时，听着演奏会，泪流满面。也不知是为了即将结束的校园生活，还是逝去的青葱岁月
1,绝对满分儿~
1,震撼
1,"久石让在宫崎骏电影里的OST无敌了。
久石让之于宫崎骏就像 游乃海之于杜琪峰 杜可风之于王家卫 强尼戴普之于蒂姆波顿 相得益彰而融合的很好。 少了一人就如同少了一种味道。"
1,向两位大师致敬
1,上回说在南京有他的演奏会，结果啥也没有，什么时候再来吧？
1,这个还有条目啊~
1,感动的东西有哭有笑，人某种维度上一点也不渺小。很喜欢久石让、铃木敏夫，所有演奏（唱）者、听众都很棒。天空之城的美，红猪的浪漫，噗妞的可爱，永远的Dodoro。
1,我觉得艺术家作品的最高境界，就是有情怀，久石让和宫崎骏都做到了...脑残粉真伤不起，看哭好几次，果断决定再撸几遍...
1,bravo
1,结尾龙猫的音乐响起的时候，我开始哭得一塌糊涂。。。
1,内牛满面..
1,热泪盈眶！！！
1,看到片名这个两个名字，听着音乐，想到那些无数感动瞬间，就要无脑五星。
1,谢谢这个世界有宫崎骏和久石让，可以让我们这么幸福。
1,几欲泪下
1,热泪盈眶
1,补登。
1,这是我听过最美的声音
1,全民感动。何时中国能有哇
1,真奇怪~并不迷宫崎骏却成了久石让的粉。这部所谓纪录片就是一场盛大的演奏会实况~我连着看了两遍 浮躁了好久的整个人都平静了。隆重推荐给大家~真的很棒。
1,是真的感动
1,生平见到过的最好的音乐会之一
1,没有任何不给满分的理由！堪称完美的演出！只是遗憾不能亲临现场。
1,我好想打7顆星啊
1,和平原绫香合作的那曲《那年夏天》令人难忘
1,大编制音乐，永远那么激动人心！！！
1,全世界有这样一个老头子就够了
1,兩個老爺子眼裡蓄滿淚水，隔著屏幕我也一忍再忍。現場的人真是有福的，一定會淚流滿面的吧！做自己熱愛的事能到這一程度真是不虛此生。對低音提琴手總有偏愛，哈哈。
1,大师！
1,占了电脑4G内存~~音乐一响我就泪了~
1,我一般不太重画质，音质，但是这个东西值得买一张好蓝光。最爱的是波妞，可惜的是好像邀请的这些好朋友，不太适合唱幻化成风。两个相辅相成的老人，肃然起敬
1,让人惊喜的龙猫
1,太经典了太经典了太经典了！！！
1,让自己安静下来
1,没有华丽的舞台，没有华美的服装，没有精致的妆容，这是我看过最纯朴的音乐会，简单的感动仅仅都来自美丽的音乐。当两个小老头儿一个台上一个台下，如在自个儿家一般轻松自由地握手的时候，感动地激灵了。
1,确实是无以伦比的一次演出，能够亲临现场的人真幸运
1,好像去现场看呐@@@@
1,动听。
1,快泪牛满面了~
1,温暖
1,老头子送花那段啊  合唱时好多人在笑 在打酱油 哦还有 那个小萝莉把我电翻了
1,这真的是值得买的碟收藏起来，一生这样听下去。
1,25年哪！ 人生的旋转木马  梦的星空  幽灵公主  千与千寻……
1,伟大的作曲家！伟大的动画巨匠！堪称世界动画电影史无前例的绝配！感人泪下的现场演奏会！
1,煽情。
1,看多很多遍，每次都泪.........
1,看宫崎骏的动漫很美好，久石让的歌曲是一场听觉的盛宴，让人很享受。
1,看不了现场的遗憾
1,音乐是全世界共通的语言！
1,以后一定让小孩从小看宫崎骏，听久石让！~
1,黍叔你真的太棒了
1,让叔的作品听得不多 宫老的作品看的不全 还是很感人啊 坟淡
1,为什么搞得跟DTT要离开人世了一样。
1,DT最后哭着开玩笑说，我改变主意了，我要继续拍第五季，还来得及嘛......
1,聽著他講講話... 眼淚就掉下來... 完蛋了又這種狀態
1,"是DT让我几乎相信真的有Tardis的存在,到11th那儿就完全破灭了。"
1,"goodbye to David Tennant, the best tenth Doctor ever. 没有不散的筵席，未来某天，Matt Smith也会如此，12、13接踵而来。"
1,看了几集之后很快喜欢上了DT，现在完全成了脑残粉
1,所以说每一任博士的性格刻画真是和演员本身性格密不可分啊。
1,口音不太一样但还带着博士的调调 RTD傲娇 最后桑塔人也出现了www
1,能把这个一分钟不差的看完的，都是脑残粉。看到最后感觉不是10th离开了，好像DT要挂了似的。
1,DTT真的好甜 我最爱的一任doctor 只是听他讲讲话 就又被虐到了...
1,DTT最后的告别真心酸啊，以博士的身份送走一批又一批女主后，终于也迎来了自己的终章。不过你们已经把最精彩的内容呈现给观众。
1,窝居然没有圈过这个【眼里进tardis了】
1,告别时而好忧伤
1,我也要哭了TAT
1,看的人好伤感
1,哭死我了~~~我滴地提提
1,DT也舍不得离开
1,啥都不说了。哭去了。现在连十三姨都拍了好多了，我还在伤心小十的离去。唉。
1,最后一幕
1,bilibili.tv/video/av900713/
1,看得人伤心死了
1,真是哭死我了！  DTT從三歲起就想演Doctor了，他也是爲了這個去做了演員。
1,"补标记。
永远、永远不跟你说再见。"
1,TENth forever
1,"小十的最后。??你别哭啊??
是真的辛苦，粉色衬衫。
500miles 现场版怎么回事哈哈哈哈哈这调"
1,提提好可爱，十任博士是我心目中最棒的一任。谢谢
1,幸好DTT现在这么好。否则真的要心碎而死了QAQ
1,舍不得他走……DT这一任留下了太多的感动和遗憾……Trust your doctor……
1,哭成狗
1,离开总是伤感
1,苏格兰口音有点小性感哦。。。er音好喜感。。。
1,"the story continues, but your song was ended. Goodbye."
1,太虐心了，你能想象一个三岁就想演博士的孩子长大后演了四年博士却不得不离开的心情吗？视频里生活中的DT和剧中的博士如出一辙，乐观、谦逊、总是带给人积极向上的力量，vlog里最后几段自述完全是强忍着眼泪不让它涌出来，实在忍不住他就把镜头一关，心酸。
1,And I'll walk 500 miles TAT
1,i dont want to go
1,goodbye，DTT
1,TTATT 你快回来
1,"我发现我爱上了这个博士
 David Tennant"
1,再见，这次真的是再见了。
1,T_T
1,"我相信他的泪都留到了戏里 (As a doctor,you cannot lack courage.)"
1,u r sooooo cute
1,DT真是太美好！在电台门卫听到小孩叫着doctor真的觉得真诚到感动！
1,"The end of time,告别总是痛苦的。"
1,Love DT
1,又看了一遍，好想robin，想哭……
1,DT拯救被马婶崩坏的审美
1,突然失去了什么
1,"估计是几千条视频里面精选了40分钟。
DT是如何能一个人对着镜头说这么多话的？
四年，就像从一所大学毕业。"
1,DTT没有红透全球真的是意难平！！！当年多么的青春鲜肉啊，还没进化成猕猴桃
1,呜呜呜呜呜呜嘤嘤嘤嘤嘤嘤嘤嘤哇哇哇哇哇眼泪哗哗的
1,我特别喜欢小十的一点是他的表演里透着某种悲剧感，可能是种学院派莎剧演员里常见的特质，入世出世之难，人性的险恶与善良，宇宙之大与生命之短暂，文明有多恢宏、毁灭它们有多容易……都能在时间领主充满悲悯的见证下得到原谅。DT和RTD的时代结束，真的好舍不得。
1,别走啊
1,跟着DT一起哽咽TTATT
1,DT最后都哽咽了TT好吧我纯属自虐=。=
1,最爱的博士，一直没勇气看这部，看完更喜欢他了！
1,好伤心
1,能不能别这么甜
1,那DT是不是还有别的视频日记昂？？？
1,看了好多遍还是好不舍好想哭TAT
1,end of an era
1,ahh... this one is so sad :(
1,要哭了
1,永远想念你
1,wwwwwwwwwwwwwwQIQ
1,拜拜小十??
1,真心又好玩又虐心
1,去年的时候看的，看着落泪
1,看到最后伤感的不得了……CE演过之后从未提起，是太理智的缘故么。DT多愁善感的一面……
1,四年的时光 四季的时光 就这么结束了 最后的一段时光
1,脑残粉的我不遗余力给五星
1,矮马哭死我了
1,一直觉得DT挺拧巴 完全理解 依旧不舍！
1,虽然刚开始看DW，但真的好喜欢DTT的十任，舍不得
1,好伤感，大提提好感性
1,为什么要换人:(
1,DT正式告别的视频，看得出他还是挺伤感的，在杀青上说着说着就哭了真的令人心疼，感觉和他演绎的博士的形象发生了重叠。而且演员本身跟他演绎的角色也挺像的，平时没心没肺挺闹腾的，可是伤心的时候还是令人心碎。
1,真的舍不得小十啊啊啊
1,泪。。。以至于我无法接受Matt Smith。。
1,"泪目。。。Goodbye, 10th DTr."
1,我也不知道我看到小十没了已经很难过了为什么还要看这个，我杀我自己。最后DT对着镜头忍着哭的时候我真的被戳中了……
1,凡事都有个终点，不过老田你依旧是我的最爱。
1,里程碑式的10th，always on my mind.
1,DT真的是一个太好的演员了
1,满满的不舍，和小十一样不想走的DT。居然从头看到尾的手持录像。DT舍不得却又极力克制的样子真让人心疼…
1,感情分.
1,QAQ
1,660
1,I dont want to let you go.
1,爱你
1,"嘤嘤嘤, I don't want you go!!!"
1,好喜欢David！！！
1,"Doctor送走一位位旅伴 我们也送走一位位刀客特 My David Tennant, My Doctor forever"
1,我觉得我看的时候会哭死啊！我心爱的小十啊！T__T
1,DT平时的口音比电视上要重很多有时候真的会一下子反应不过来在讲什么，最后的告别真要哭死人
1,byebye小十
1,TT
1,哭惨了
1,看着他对着镜头讲着讲着，眼泪就掉了下来。
1,Miss you DT
1,现在看依旧催泪，惟有再去看一遍全体工作人员版500 miles来治愈TOT
1,十任。。。
1,看哭有木有T T  i wanna you change your mindT T.
1,当初他接任的时候好不舍9任大叔，当频频看到他哽咽的额时却心疼不已，他失去了太多人，最后我们失去他。
1,居然有9.8分……脑残粉也打5星吧，哈哈哈
1,DT是如此讨人喜欢，离别是如此令人伤感。
1,★★★★★
1,英国演员口音转换真是快啊……
1,再一次重生，告别10th，当时看剧时哭死了。今天再看这个视频日志，看着DTT的难过不舍，忍不住又很想哭。看到他当时说好了我改变主意了我要接着拍第五季，想起10th说的最后一句话，还有哪个脑残粉能控制住？！！！
1,拿来练习英音听力真的不错。听着听着就泪奔。My first beginning of this ending。。。
1,我陷入了那种一听到DT说话就开始掉眼泪的状态了……完了完了。
1,最后在漫天纸屑下他说：我改变主意了，我要接着拍第五季，还来得及么？虽然知道只是调侃只是缓解情绪，但还是很难受。DT时代的终结，永远不会被忘记的doctor，10th。
1,不要搞的好像过世了好吗！！！乃安心的去吧！！！
1,"T.T  T.T  t.t  //(和Bernard戏说威亚戏）""I'll still be there when Matt Smith arrives.""
""Yeah. 'Matt can you do me a favor?' 'Who are you?'""
""Who was he? He was somebody once. Get him down from there, fling him out."""
1,It's heartbreaking.
1,看得出你的不舍啊 还好是隔了段时间才看的 不然会很难过
1,嘤嘤嘤
1,看过的都是脑残粉
1,好喜欢DT啊……不舍
1,居然没评价过！DTT脑残粉模式开启～～～
1,很走心，很不舍。
1,哭得像条狗
1,永远的Doctor  唯一的time lord 
1,因为是自己手持拍摄所以镜头比较微妙 但非常真实 也算从侧面了解到一点DW拍摄先关的东西吧 当时的剧组是真的穷【X 但是氛围感觉很棒 送给法师的照片太缺德了233333 最后离别总是伤感 始终还是最喜欢10任吧
1,他后悔了。。。DT！！！
1,最喜欢小10，太心疼了
1,DT这个小可爱啊 真是很sentimental 不过确实懂得适可而止 是个明白人
1,说完“我改主意了 第五季我接着拍”之后是真实的听到哭腔了…横向对比提说看到ms进组了然后想到自己刚进组 从视频日记里也看得出成长了不少 从小就喜欢dw长大演了博士 博士时期还一直拍视频日记 提真的是幸运小孩 Vale decem. 
1,我为什么2022年才看到 心碎
1,对花絮什么的完全没有抵抗力QAQ
1,好可爱，也好蛇精病啊！
1,goodbye doctor.
1,以後就看不到DW的日誌了啊.....感謝小10！最後要出去發表感言的時候他快哭了我也快哭了．．．
1,舍不得离开
1,DT忍着不哭那里我已经哭死了qwwwq
1,I don't want to go.       大爱小十啊
1,泪目…
1,是我无论看多少遍都最爱的小10??
1,DT要走了自己也舍不得啊。。他为什么要说儿化音，好别扭的说
1,David这种感情特别丰富细腻的长得好看的男生始终无法拒绝！！不珍惜那些美好的时刻，怎么会去拍视频日记呢，怎么会对着镜头自己都哽咽地说不下去了呢……摸摸头
1,口音好好玩
1,QAQ
1,萌死了好吗 TvT
1,梦碎了
1,;(
1,一月份看的貌似，当时正好看到他要离开的时候，好伤心的说
1,看得伤心死QAQ几个特辑还没看呢QAQ天啊之后要虐死我吗
1,补马
1,"好多都是通宵拍的……
追DW的日子暂时告一段落，以后有空再看啦"
1,我也陪着你一起sentimental;(((Thank you David
1,你要走 又拿什么来留你唉
1,可！爱！
1,再见 David Tennant
1,到最后连他自己都忍不住想哭，然后用各种小动作想把眼泪憋回去……上天啊我受不了这个 I really can't take this
1,大卫演的博士回想起来还是经典
1,除了画质不好，什么都好
1,虐，大爱小十
1,我的小11啊
1,真心颜值高
1,别哭啊可恶…………
1,好啦好啦我承认DT你比我心爱的9叔演得好你是最棒的doctor别再难过了给小11留点面子55555555
1,最后的告别看得我好伤感
1,"他说,我改主意了,我要接着拍第五季....天,怎么还有人给四星....哭死了 在我心里,DT之后再无刀客特....一个人躲在车里哭...还好没拍下来,那更得哭死了..."
1,哭得我 太难过了 已经不知道该怎么看下一季dw了……
1,看到最后超级难过
1,DTT真的不想走，呜呜
1,成功地把这个留在了最后看 真好啊
1,虽然镜头各种晃，但却确实是纪录片的那种真实感。既然做得这么用心，相信DT自己也很不舍吧！
1,最后感觉看到了博士本人，他就是小10啊
1,呜呜呜我永远爱DT
1,当时真的哭了呜呜呜呜
1,呜呜呜！小十好可爱，好舍不得你！
1,啊啊啊啊啊啊好舍不得他
1,DT不在的一个星期，想你。
1,??????????????????????????????????????????
1,最喜欢DT了！
1,哭瞎
1,最后DTT耸着肩说我改变主意了我要拍第五季现在太迟了吗 太虐心了好吗
1,my doctor......
1,QAQ
1,刚开始九叔变小十了完全不适应，可是很快不知不觉就爱上他了，希望我也会这样慢慢喜欢上小十一、十二……
1,最后和剧组一起拍的MV真是可爱爆了
1,大提提的眼睛水汪汪～～
1,没想到看到最后，还是要关弹幕。
1,“But I would walk five hundred miles And I would walk five hundred more Just to be the man who walked a thousand miles to fall down at your door”
1,太早看到这个了。等真正陪他走完那段路会再来看的。（本来想花式夸DTT好看然而后半段差点泪崩到说不出话
1,好可爱好可爱
1,You are my doctor. You take me to this marvelous DW world. You light up my mind to look up to the sky and wonder those maybe childish or ridiculous but interesting questions. 
1,看到最后好难过…中间DT和乐队一起唱歌那段好欢乐～还有CT，JM～
1,DTT怎么能这么可爱！好虐啊就是
1,哭死个爹了嘤嘤嘤嘤……
1,呜呜呜my doctor我好想他
1,我永远爱DT
1,呜呜呜看得我好难过啊，聚散终有时
1,( TДT)
1,告别小十 催泪纪录片
1,开始觉得他不太博学，看了三季又四个特别篇，觉得他就是神秘博士。再见咯！
1,还是挺不舍的，DTT扮演的doctor在国外也是最受欢迎的doctor，只要成为doctor一辈子都是doctor
1,……甚至希望时间停在那 停在10th 一切结束（好爱DT啊…….
1,我好喜欢他，他就是真正的博士啊
1,连这个我都一分钟不落地看完了……DT是真的很神奇，就连怼脸直拍和死亡夜视镜头也能让人从头看到尾。
1,DTTTTTTTTT
1,看得哭成泪人
1,不舍得让他离开。
1,最爱的刀客特 深夜刷这个真是感觉泡在泪水里了
1,他拍完悄悄走了 还是导演骗他说要再拍一组参照镜头才把他拉回去跟大家告别 他都快哭了还嘴硬说自己不伤心 太难过了 看着看着眼泪就掉下来了
1,这个也有词条呀！
1,心碎了。但不得不说大眼睛美女讲苏格兰口音稍微冲淡了一点伤感（
1,是什么让我流泪，是你啊！
1,"vlog博主dt太可爱
"
1,呜呜呜，我的小10
1,10??
1,内牛满面 role model
1,"哎哎哎看到最后真的哭出来
DTT真的是my doctor 虽然小11有爱12叔我也萌的死去活来，可是真心，10th就是my doctor
最爱10th和Donna呢……"
1,感觉不看就永远不会说再见??真的再见啦，小十
1,I don't want to go.
1,wuhuakeshuo....
1,告别演讲之前那段独白好催泪??
1,最后他说我后悔了我想再签一季的时候我哭了
1,真的只有真爱粉才会看，提子在里面真的很多时候感觉都要哭了，满满的回忆呀????
1,不能成为第一个饭上阿拉希的人，那么，就试着去做最后一个脱饭的人吧。
1,不止一次地感叹这五人绝妙的平衡感，这是打磨了多少年才闪现出的光芒。谁能知道未来会怎么样呢，此时此刻我爱着你们。这样就够了吧。
1,【14秋 NHK】上升期想着退出的leader，以为岚会早早结束的sho，气胸害怕回不到组合的aiba，强忍着腰痛逞强的nino，认真策划con较真克己的jun。出道后经历了8年的低谷期，感谢这五人咬牙坚持了下来才有了今天的Arashi。
